level_value_id,level_value_mnemonic,parent_level_value_id
v001,amani,w01
v002,asha,w01
v003,asaante,w01
v004,athari,w01
v005,baadhi,w02
v006,balozi,w02
v007,bambi,w02
v008,bandari,w02
v009,bano,w03
v010,baraka,w03
v011,baridi,w03
v012,basi,w03
v013,bauli,w04
v014,bedui,w04
v015,bendera,w04
v016,beni,w04
v017,bere,w05
v018,berio,w05
v019,bertu,w05
v020,beso,w05
v021,bevu,w06
v022,bibi,w06
v023,bicha,w06
v024,bichi,w06
v025,bidi,w07
v026,bieke,w07
v027,bielu,w07
v028,bievu,w07
v029,bigeu,w08
v030,bigi,w08
v031,bigny,w08
v032,bileh,w08
v033,bilema,w09
v034,bileya,w09
v035,bileza,w09
v036,bilicho,w09
v037,biliha,w10
v038,biliki,w10
v039,bilili,w10
v040,bililo,w10
v041,bilina,w11
v042,bilini,w11
v043,bilino,w11
v044,bilita,w11
v045,bilivu,w12
v046,biliwa,w12
v047,bilixi,w12
v048,biliyo,w12
v049,biliza,w13
v050,biliza,w13
v051,bilizo,w13
v052,bilkou,w13
v053,bilkua,w14
v054,billah,w14
v055,billi,w14
v056,billio,w14
v057,billsi,w15
v058,billyu,w15
v059,bilosa,w15
v060,bilosi,w15
v061,bilota,w16
v062,biloti,w16
v063,biloto,w16
v064,bilova,w16
v065,bilovi,w17
v066,bilovu,w17
v067,bilowa,w17
v068,bilowi,w17
v069,bilowu,w18
v070,biloxa,w18
v071,biloxi,w18
v072,biloxo,w18
v073,biloza,w19
v074,bilozo,w19
v075,biluba,w19
v076,bilubi,w19
v077,bilubu,w20
v078,biluca,w20
v079,biluch,w20
v080,biluci,w20
v081,bilucu,w21
v082,biludu,w21
v083,bilufa,w21
v084,bilufi,w21
v085,bilufo,w22
v086,bilufu,w22
v087,biluga,w22
v088,bilugi,w22
v089,bilugo,w23
v090,bilugu,w23
v091,biluh,w23
v092,biluha,w23
v093,biluhi,w24
v094,biluho,w24
v095,biluhu,w24
v096,biluja,w24
v097,biluji,w25
v098,bilujo,w25
v099,biluju,w25
v100,biluka,w25
v101,biluki,w26
v102,biluko,w26
v103,biluku,w26
v104,bilula,w26
v105,biluli,w27
v106,bilulo,w27
v107,bilulu,w27
v108,biluma,w27
v109,bilumi,w28
v110,bilumo,w28
v111,bilumu,w28
v112,biluna,w28
v113,biluni,w29
v114,biluno,w29
v115,bilunu,w29
v116,bilupa,w29
v117,bilupi,w30
v118,bilupo,w30
v119,bilupu,w30
v120,biluqa,w30
v121,biluqi,w31
v122,biluqo,w31
v123,biluqu,w31
v124,bilura,w31
v125,biluri,w32
v126,biluro,w32
v127,biluru,w32
v128,bilusa,w32
v129,bilusi,w33
v130,biluso,w33
v131,bilusu,w33
v132,biluta,w33
v133,biluti,w34
v134,biluto,w34
v135,bilutu,w34
v136,biluva,w34
v137,biluvi,w35
v138,biluvo,w35
v139,biluvu,w35
v140,biluwa,w35
v141,biluwi,w36
v142,biluwo,w36
v143,biluwu,w36
v144,biluxa,w36
v145,biluxi,w37
v146,biluxo,w37
v147,biluxu,w37
v148,biluya,w37
v149,biluyi,w38
v150,biluyo,w38
v151,biluyu,w38
v152,biluza,w38
v153,biluzi,w39
v154,biluzo,w39
v155,biluzu,w39
v156,bimaba,w39
v157,bimaca,w40
v158,bimada,w40
v159,bimaea,w40
v160,bimafa,w40
v161,bimaga,w41
v162,bimaha,w41
v163,bimaia,w41
v164,bimaja,w41
v165,bimaka,w42
v166,bimala,w42
v167,bimama,w42
v168,bimana,w42
v169,bimapa,w43
v170,bimaqa,w43
v171,bimara,w43
v172,bimasa,w43
v173,bimata,w44
v174,bimaua,w44
v175,bimava,w44
v176,bimawa,w44
v177,bimaxa,w45
v178,bimaya,w45
v179,bimaza,w45
v180,bimbi,w45
v181,bimbaa,w46
v182,bimbea,w46
v183,bimbee,w46
v184,bimbei,w46
v185,bimbel,w47
v186,bimben,w47
v187,bimbeo,w47
v188,bimbeu,w47
v189,bimbey,w48
v190,bimbez,w48
v191,amani,w48
v192,asha,w48
v193,asaante,w49
v194,athari,w49
v195,baadhi,w49
v196,balozi,w49
v197,bambi,w50
v198,bandari,w50
v199,bano,w50
v200,baraka,w50
v201,baridi,w51
v202,basi,w51
v203,bauli,w51
v204,bedui,w51
v205,bendera,w52
v206,beni,w52
v207,bere,w52
v208,berio,w52
v209,bertu,w53
v210,beso,w53
v211,bevu,w53
v212,bibi,w53
v213,bicha,w54
v214,bichi,w54
v215,bidi,w54
v216,bieke,w54
v217,bielu,w55
v218,bievu,w55
v219,bigeu,w55
v220,bigi,w55
v221,bigny,w56
v222,bileh,w56
v223,bilema,w56
v224,bileya,w56
v225,bileza,w57
v226,bilicho,w57
v227,biliha,w57
v228,biliki,w57
v229,bilili,w58
v230,bililo,w58
v231,bilina,w58
v232,bilini,w58
v233,bilino,w59
v234,bilita,w59
v235,bilivu,w59
v236,biliwa,w59
v237,bilixi,w60
v238,biliyo,w60
v239,biliza,w60
v240,biliza,w60
v241,bilizo,w61
v242,bilkou,w61
v243,bilkua,w61
v244,billah,w61
v245,billi,w62
v246,billio,w62
v247,billsi,w62
v248,billyu,w62
v249,bilosa,w63
v250,bilosi,w63
v251,bilota,w63
v252,biloti,w63
v253,biloto,w64
v254,bilova,w64
v255,bilovi,w64
v256,bilovu,w64
