level_value_id,level_value_mnemonic,parent_level_value_id
w01,kwetu,d01
w02,msitu,d01
w03,mtai,d01
w04,mwana,d01
w05,soko,d02
w06,jumba,d02
w07,wingi,d02
w08,upande,d02
w09,mkunge,d03
w10,pika,d03
w11,shimo,d03
w12,mbegu,d03
w13,damu,d04
w14,kobe,d04
w15,uzima,d04
w16,hasara,d04
w17,haraka,d05
w18,changa,d05
w19,wimbo,d05
w20,nguvu,d05
w21,moyo,d06
w22,wingu,d06
w23,joto,d06
w24,barafu,d06
w25,uhuruumeme,d07
w26,mahaba,d07
w27,eneza,d07
w28,nguvu,d07
w29,mwali,d08
w30,cheka,d08
w31,sura,d08
w32,tano,d08
w33,tanzu,d09
w34,walizo,d09
w35,hatua,d09
w36,nyumbani,d09
w37,pamoja,d10
w38,karibu,d10
w39,habari,d10
w40,tupa,d10
w41,tetemeka,d11
w42,umani,d11
w43,safari,d11
w44,walili,d11
w45,ushindi,d12
w46,upendo,d12
w47,ujinga,d12
w48,tahini,d12
w49,usawa,d13
w50,nguvu,d13
w51,mapicho,d13
w52,kufa,d13
w53,kupika,d14
w54,kusoma,d14
w55,kuzaa,d14
w56,kutaka,d14
w57,kupiga,d15
w58,kujua,d15
w59,kusikia,d15
w60,kuweza,d15
w61,kuwasha,d16
w62,kufanya,d16
w63,kufa,d16
w64,kuitwa,d16
