country,region,district,ward,village
kamuntu,chakula,makali,cheka,bilunu
kamuntu,chakula,makali,cheka,bilupa
kamuntu,chakula,makali,cheka,bilupi
kamuntu,chakula,makali,cheka,bilupo
kamuntu,chakula,makali,cheka,bilupu
kamuntu,chakula,makali,sura,biluqa
kamuntu,chakula,makali,sura,biluqi
kamuntu,chakula,makali,sura,biluqo
kamuntu,chakula,makali,sura,biluqu
kamuntu,chakula,makali,sura,bilura
kamuntu,chakula,makali,tano,biluri
kamuntu,chakula,makali,tano,biluro
kamuntu,chakula,makali,tano,biluru
kamuntu,chakula,makali,tanzu,bilusa
kamuntu,chakula,makali,tanzu,bilusi
kamuntu,chakula,makali,tanzu,biluso
kamuntu,chakula,makali,tanzu,bilusu
kamuntu,chakula,ndoto,habari,biluza
kamuntu,chakula,ndoto,habari,biluzi
kamuntu,chakula,ndoto,habari,biluzo
kamuntu,chakula,ndoto,karibu,biluya
kamuntu,chakula,ndoto,karibu,biluyi
kamuntu,chakula,ndoto,karibu,biluyo
kamuntu,chakula,ndoto,karibu,biluyu
kamuntu,chakula,ndoto,tetemeka,bimaea
kamuntu,chakula,ndoto,tetemeka,bimafa
kamuntu,chakula,ndoto,tetemeka,bimaga
kamuntu,chakula,ndoto,tetemeka,bimaha
kamuntu,chakula,ndoto,tetemeka,bimaia
kamuntu,chakula,ndoto,tupa,biluzu
kamuntu,chakula,ndoto,tupa,bimaba
kamuntu,chakula,ndoto,tupa,bimaca
kamuntu,chakula,ndoto,tupa,bimada
kamuntu,chakula,ndoto,umani,bimaja
kamuntu,chakula,ndoto,umani,bimaka
kamuntu,chakula,ndoto,umani,bimala
kamuntu,chakula,ndoto,umani,bimama
kamuntu,chakula,ndoto,umani,bimana
kamuntu,chakula,rafiki,eneza,biluma
kamuntu,chakula,rafiki,eneza,bilumi
kamuntu,chakula,rafiki,eneza,bilumo
kamuntu,chakula,rafiki,mahaba,bilula
kamuntu,chakula,rafiki,mahaba,biluli
kamuntu,chakula,rafiki,mahaba,bilulo
kamuntu,chakula,rafiki,mahaba,bilulu
kamuntu,chakula,rafiki,mwali,bilumu
kamuntu,chakula,rafiki,mwali,biluna
kamuntu,chakula,rafiki,mwali,biluni
kamuntu,chakula,rafiki,mwali,biluno
kamuntu,chakula,rafiki,uhuruumeme,biluki
kamuntu,chakula,rafiki,uhuruumeme,biluko
kamuntu,chakula,rafiki,uhuruumeme,biluku
kamuntu,chakula,simba,hatua,bilutu
kamuntu,chakula,simba,hatua,biluva
kamuntu,chakula,simba,hatua,biluvi
kamuntu,chakula,simba,hatua,biluvo
kamuntu,chakula,simba,nyumbani,biluvu
kamuntu,chakula,simba,nyumbani,biluwa
kamuntu,chakula,simba,nyumbani,biluwi
kamuntu,chakula,simba,nyumbani,biluwo
kamuntu,chakula,simba,nyumbani,biluwu
kamuntu,chakula,simba,pamoja,biluxa
kamuntu,chakula,simba,pamoja,biluxi
